entity_id,state,last_changed
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:00:00.000Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,58.4,2026-02-20T12:00:08.526Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.5,2026-02-20T12:00:13.569Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.4,2026-02-20T12:00:18.710Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.6,2026-02-20T12:00:23.850Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:00:32.073Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.7,2026-02-20T12:00:37.212Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.8,2026-02-20T12:00:43.858Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,42.1,2026-02-20T12:01:06.102Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,175.7,2026-02-20T12:01:11.146Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.7,2026-02-20T12:01:16.286Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.6,2026-02-20T12:01:32.745Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:01:43.856Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,40.0,2026-02-20T12:01:59.579Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:02:04.623Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,66.4,2026-02-20T12:02:11.929Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:02:16.972Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,38.9,2026-02-20T12:02:30.446Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:02:35.489Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.2,2026-02-20T12:02:42.685Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.9,2026-02-20T12:02:43.854Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,66.4,2026-02-20T12:03:02.338Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:03:07.381Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,139.6,2026-02-20T12:03:15.716Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,189.0,2026-02-20T12:03:20.759Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.6,2026-02-20T12:03:28.981Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.2,2026-02-20T12:03:37.205Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.6,2026-02-20T12:03:43.856Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.3,2026-02-20T12:03:45.429Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,36.4,2026-02-20T12:04:04.040Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.1,2026-02-20T12:04:09.083Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,58.0,2026-02-20T12:04:27.695Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,197.2,2026-02-20T12:04:32.741Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,200.9,2026-02-20T12:04:39.933Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,203.1,2026-02-20T12:04:43.850Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,114.9,2026-02-20T12:04:45.186Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.9,2026-02-20T12:04:50.229Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,50.3,2026-02-20T12:05:06.785Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.3,2026-02-20T12:05:11.827Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,39.1,2026-02-20T12:05:26.330Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.1,2026-02-20T12:05:31.374Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.8,2026-02-20T12:05:38.677Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.6,2026-02-20T12:05:43.718Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:05:43.847Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,199.2,2026-02-20T12:05:48.889Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,212.2,2026-02-20T12:06:01.223Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,183.6,2026-02-20T12:06:07.499Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,221.3,2026-02-20T12:06:12.543Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.6,2026-02-20T12:06:17.683Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.7,2026-02-20T12:06:25.907Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,37.8,2026-02-20T12:06:38.351Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.8,2026-02-20T12:06:43.394Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.4,2026-02-20T12:06:43.845Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:06:49.559Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,63.1,2026-02-20T12:07:16.397Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,165.7,2026-02-20T12:07:21.442Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.4,2026-02-20T12:07:26.582Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:07:43.843Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.7,2026-02-20T12:07:53.415Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.2,2026-02-20T12:07:58.458Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.3,2026-02-20T12:08:21.181Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,54.0,2026-02-20T12:08:26.224Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.0,2026-02-20T12:08:31.364Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.8,2026-02-20T12:08:43.842Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,51.3,2026-02-20T12:08:56.158Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.8,2026-02-20T12:09:01.201Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.7,2026-02-20T12:09:23.924Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,187.8,2026-02-20T12:09:28.967Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,199.0,2026-02-20T12:09:37.190Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.4,2026-02-20T12:09:42.330Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:09:43.839Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.7,2026-02-20T12:10:26.646Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,114.7,2026-02-20T12:10:37.966Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,201.1,2026-02-20T12:10:43.010Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,200.6,2026-02-20T12:10:43.837Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,57.4,2026-02-20T12:10:57.414Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.5,2026-02-20T12:11:02.554Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,36.0,2026-02-20T12:11:28.362Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.9,2026-02-20T12:11:33.405Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.7,2026-02-20T12:11:43.836Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,196.7,2026-02-20T12:11:54.097Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,197.8,2026-02-20T12:12:01.197Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,207.9,2026-02-20T12:12:08.392Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,194.3,2026-02-20T12:12:17.752Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.7,2026-02-20T12:12:28.963Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.8,2026-02-20T12:12:36.159Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:12:43.832Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,54.2,2026-02-20T12:13:02.994Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:13:09.064Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,103.3,2026-02-20T12:13:25.621Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,38.6,2026-02-20T12:13:30.664Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,42.7,2026-02-20T12:13:35.804Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.4,2026-02-20T12:13:40.945Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.0,2026-02-20T12:13:43.830Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.6,2026-02-20T12:14:04.696Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.2,2026-02-20T12:14:09.737Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.4,2026-02-20T12:14:30.406Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.8,2026-02-20T12:14:35.449Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.0,2026-02-20T12:14:41.616Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.9,2026-02-20T12:14:43.829Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,94.0,2026-02-20T12:15:33.146Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,187.0,2026-02-20T12:15:38.189Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,200.1,2026-02-20T12:15:43.825Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,36.2,2026-02-20T12:15:46.412Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.2,2026-02-20T12:15:51.552Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,71.1,2026-02-20T12:15:57.830Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.5,2026-02-20T12:16:03.902Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.8,2026-02-20T12:16:28.679Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:16:33.722Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.8,2026-02-20T12:16:43.823Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,35.8,2026-02-20T12:16:46.169Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,193.0,2026-02-20T12:16:51.212Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,203.4,2026-02-20T12:16:57.379Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.3,2026-02-20T12:17:04.574Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.8,2026-02-20T12:17:34.393Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,38.7,2026-02-20T12:17:39.646Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:17:43.823Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.2,2026-02-20T12:17:44.689Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,51.3,2026-02-20T12:18:02.305Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,206.4,2026-02-20T12:18:07.348Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,190.8,2026-02-20T12:18:23.905Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,201.2,2026-02-20T12:18:32.031Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,38.1,2026-02-20T12:18:38.199Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.2,2026-02-20T12:18:43.340Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.1,2026-02-20T12:18:43.818Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,45.0,2026-02-20T12:19:07.091Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:19:12.134Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.0,2026-02-20T12:19:30.758Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,190.7,2026-02-20T12:19:35.801Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.6,2026-02-20T12:19:42.998Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.5,2026-02-20T12:19:43.815Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.8,2026-02-20T12:19:56.467Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.0,2026-02-20T12:20:04.594Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,167.0,2026-02-20T12:20:39.648Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.0,2026-02-20T12:20:43.814Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.6,2026-02-20T12:20:45.719Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,79.0,2026-02-20T12:20:58.188Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.1,2026-02-20T12:21:03.229Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.8,2026-02-20T12:21:28.005Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.0,2026-02-20T12:21:33.049Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,91.2,2026-02-20T12:21:41.384Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,194.7,2026-02-20T12:21:43.811Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,189.3,2026-02-20T12:21:46.427Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,199.1,2026-02-20T12:21:51.567Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.9,2026-02-20T12:21:57.733Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.3,2026-02-20T12:22:03.900Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,37.8,2026-02-20T12:22:30.735Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.2,2026-02-20T12:22:35.778Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,31.9,2026-02-20T12:22:43.808Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,166.1,2026-02-20T12:22:54.390Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,197.7,2026-02-20T12:22:59.434Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,207.4,2026-02-20T12:23:04.572Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,151.8,2026-02-20T12:23:09.712Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.7,2026-02-20T12:23:14.853Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,36.8,2026-02-20T12:23:31.407Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,48.7,2026-02-20T12:23:36.450Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,33.5,2026-02-20T12:23:41.592Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,32.8,2026-02-20T12:23:43.806Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,42.6,2026-02-20T12:24:05.376Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,188.1,2026-02-20T12:24:10.417Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,201.3,2026-02-20T12:24:16.636Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,214.1,2026-02-20T12:24:29.031Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,194.1,2026-02-20T12:24:36.127Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,37.2,2026-02-20T12:24:42.405Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.4,2026-02-20T12:24:43.804Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,34.5,2026-02-20T12:24:47.448Z
